"","Origin.City","Origin.State","Destination.City","Destination.State","Class","Age","Gender","Type.of.Travel","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Flyer.Status","Total.Frequent.Flyer.Accounts","Loyalty","Likelihood.to.Recommend","Shopping.at.Airport","Eating.and.Drinking.at.Airport","Partner.Code","Partner.Name","Flight.Cancelled","Month.of.Flight","Day.of.Flight","Scheduled.Time.of.Departure","Departure.Delay.In.Minutes","Arrival.Delay.in.Minutes","Flight.Duration.in.Minutes","Flight.Distance","Origin.Longitude","Origin.Latitude","Destination.Longitude","Destination.Latitude","Comments"
"1","Minneapolis","Minnesota","Phoenix","Arizona","Eco Plus",30,"Female","Business travel",3,2012,6,"Blue",0,0.0769,7,15,30,"DL","Sigma Airlines Inc.","No",1,17,19,0,0,165,1276,-93.2798,44.9782,-111.97,33.4941,NA
"2","Sacramento","California","Salt Lake City","Utah","Eco",57,"Female","Personal Travel",1,2007,27,"Silver",0,-0.6875,7,0,65,"OO","Northwest Business Airlines Inc.","No",3,23,16,0,2,85,532,-121.3247,38.6386,-111.9295,40.6408,NA
"3","Las Vegas","Nevada","Atlanta","Georgia","Eco",75,"Female","Personal Travel",3,2009,35,"Silver",0,-0.8421,8,0,15,"FL","FlyHere Airways","No",2,25,10,5,0,191,1747,-115.1672,36.1349,-84.3319,33.8241,NA
"4","New Orleans","Louisiana","San Francisco","California","Eco",55,"Female","Business travel",1,2005,13,"Blue",0,-0.625,9,10,35,"OU","Oursin Airlines Inc.","No",1,16,17,0,0,257,1911,-90.1437,29.9547,-122.1585,37.6712,NA
"5","Atlanta","Georgia","Orlando","Florida","Eco",80,"Male","Personal Travel",0,2003,77,"Blue",0,-0.9494,4,0,30,"DL","Sigma Airlines Inc.","No",3,14,21,0,0,54,404,-84.3319,33.8241,-81.4112,28.5844,NA
"6","Cleveland","Ohio","Chicago","Illinois","Eco",48,"Female","Personal Travel",2,2012,52,"Blue",0,-0.8909,4,0,30,"EV","FlyFast Airways Inc.","No",1,31,10,0,13,72,315,-81.6054,41.4436,-87.8954,41.8271,NA
"7","Charlotte","North Carolina","Houston","Texas","Eco Plus",68,"Male","Personal Travel",1,2006,33,"Blue",0,-0.6923,3,0,210,"US","Southeast Airlines Co.","No",2,5,7,0,0,145,912,-80.8158,35.2497,-95.3935,29.7843,NA
"8","Washington","Virginia","Milwaukee","Wisconsin","Eco",31,"Female","Mileage tickets",1,2004,15,"Blue",2,0.25,8,10,90,"FL","FlyHere Airways","No",3,5,16,45,53,107,634,-77.1897,38.8974,-88.1005,43.0557,NA
"9","Boston","Massachusetts","Houston","Texas","Eco",17,"Female","Business travel",2,2006,8,"Blue",1,-0.4545,9,30,50,"WN","Cheapseats Airlines Inc.","No",3,16,6,0,5,253,1609,-71.1407,42.3731,-95.3935,29.7843,NA
"10","San Francisco","California","Denver","Colorado","Eco",41,"Male","Business travel",1,2009,3,"Blue",0,0.4,8,0,10,"WN","Cheapseats Airlines Inc.","No",3,9,13,12,4,122,967,-122.1585,37.6712,-104.9551,39.7108,NA
"11","Milwaukee","Wisconsin","Kansas City","Missouri","Eco",33,"Male","Business travel",1,2003,18,"Gold",0,-0.3846,9,10,44,"WN","Cheapseats Airlines Inc.","No",2,11,8,0,0,69,436,-88.1005,43.0557,-94.5949,39.0398,NA
"12","Portland","Oregon","San Francisco","California","Eco",23,"Male","Mileage tickets",1,2003,2,"Silver",0,0.6667,9,0,120,"OO","Northwest Business Airlines Inc.","No",2,27,15,98,92,92,550,-122.6511,45.5204,-122.1585,37.6712,NA
"13","Tallahassee","Florida","Atlanta","Georgia","Eco",45,"Male","Business travel",1,2004,0,"Blue",1,1,8,0,30,"EV","FlyFast Airways Inc.","No",2,16,10,0,4,48,223,-84.2689,30.4732,-84.3319,33.8241,NA
"14","Atlanta","Georgia","Flint","Michigan","Eco",68,"Male","Personal Travel",2,2003,42,"Blue",0,-0.6471,4,0,55,"DL","Sigma Airlines Inc.","No",1,12,20,42,17,84,645,-84.3319,33.8241,-83.6947,42.9888,NA
"15","Tulsa","Oklahoma","Chicago","Illinois","Business",28,"Male","Business travel",1,2006,59,"Blue",0,-0.7612,7,0,20,"MQ","EnjoyFlying Air Services","No",3,4,13,0,0,80,585,-95.9013,36.1054,-87.8954,41.8271,NA
"16","Amarillo","Texas","Houston","Texas","Eco",44,"Female","Business travel",1,2006,18,"Blue",1,-0.5,6,10,50,"EV","FlyFast Airways Inc.","No",1,20,6,0,0,87,517,-101.8491,35.1975,-95.3935,29.7843,NA
"17","Minneapolis","Minnesota","Seattle","Washington","Eco",60,"Male","Business travel",1,2010,36,"Gold",0,-0.6,9,0,10,"DL","Sigma Airlines Inc.","No",1,13,9,0,0,206,1399,-93.2798,44.9782,-122.2747,47.4684,NA
